iter	Passed	Remaining
780	3994	1120
781	3997	1114
782	4000	1108
783	4003	1103
784	4006	1097
785	4009	1091
786	4013	1086
787	4016	1080
788	4029	1077
789	4032	1072
790	4036	1066
791	4039	1060
792	4044	1055
793	4047	1050
794	4050	1044
795	4053	1038
796	4055	1033
797	4059	1027
798	4062	1021
799	4065	1016
800	4068	1010
801	4070	1005
802	4073	999
803	4076	993
804	4078	987
805	4080	982
806	4084	976
807	4086	971
808	4089	965
809	4096	960
810	4099	955
811	4103	950
812	4107	944
813	4130	943
814	4133	938
815	4137	933
816	4141	927
817	4145	922
818	4148	916
819	4151	911
820	4153	905
821	4156	900
822	4158	894
823	4162	889
824	4165	883
825	4167	877
826	4170	872
827	4172	866
828	4175	861
829	4179	856
830	4182	850
831	4185	845
832	4187	839
833	4190	834
834	4193	828
835	4196	823
836	4256	828
837	4259	823
838	4263	818
839	4266	812
840	4269	807
841	4275	802
842	4279	797
843	4284	791
844	4313	791
845	4316	785
846	4319	780
847	4323	774
848	4328	769
849	4360	769
850	4364	764
851	4366	758
852	4370	753
853	4372	747
854	4376	742
855	4402	740
856	4407	735
857	4411	730
858	4440	728
859	4443	723
860	4446	717
861	4449	712
862	4452	706
863	4465	702
864	4468	697
865	4470	691
866	4472	686
867	4475	680
868	4477	674
869	4481	669
870	4483	663
871	4485	658
872	4487	652
873	4489	647
874	4492	641
875	4498	636
876	4502	631
877	4505	625
878	4507	620
879	4511	615
880	4514	609
881	4517	604
882	4519	598
883	4522	593
884	4524	587
885	4527	582
886	4532	577
887	4535	572
888	4537	566
889	4540	561
890	4542	555
891	4559	551
892	4561	546
893	4564	541
894	4567	535
895	4570	530
896	4599	528
897	4602	522
898	4607	517
899	4610	512
900	4615	507
901	4618	501
902	4622	496
903	4625	491
904	4627	485
905	4637	481
906	4640	475
907	4642	470
908	4644	464
909	4646	459
910	4648	454
911	4652	448
912	4655	443
913	4658	438
914	4660	432
915	4663	427
916	4666	422
917	4669	417
918	4672	411
919	4675	406
920	4678	401
921	4682	396
922	4686	390
923	4689	385
924	4693	380
925	4696	375
926	4700	370
927	4704	364
928	4708	359
929	4715	354
930	4733	350
931	4737	345
932	4741	340
933	4743	335
934	4746	330
935	4754	325
936	4756	319
937	4760	314
938	4762	309
939	4766	304
940	4768	298
941	4787	294
942	4789	289
943	4792	284
944	4795	279
945	4798	273
946	4807	269
947	4831	265
948	4839	260
949	4848	255
950	4854	250
951	4859	245
952	4863	239
953	4867	234
954	4871	229
955	4875	224
956	4878	219
957	4881	214
958	4891	209
959	4894	203
960	4897	198
961	4901	193
962	4903	188
963	4906	183
964	4908	178
965	4910	172
966	4913	167
967	4915	162
968	4918	157
969	4921	152
970	4923	147
971	4925	141
972	4934	136
973	4944	131
974	4946	126
975	4949	121
976	4951	116
977	4953	111
978	4956	106
979	4960	101
980	4964	96
981	4967	91
982	4970	85
983	4992	81
984	5002	76
985	5005	71
986	5008	65
987	5010	60
988	5013	55
989	5015	50
990	5022	45
991	5025	40
992	5027	35
993	5030	30
994	5032	25
995	5035	20
996	5040	15
997	5043	10
998	5047	5
999	5050	0
